days, USD/FT
457,1.442605
458,1.441678
459,1.418862
460,1.469639
461,1.543706
462,1.636207
463,1.636377
464,1.654207
465,1.633977
466,1.618541
467,1.659424
468,1.624166
469,1.616312
470,1.5623
471,1.504956
472,1.532873
473,1.465949
474,1.475054
475,1.528177
476,1.565443
477,1.555654
478,1.585867
479,1.597413
480,1.558809
481,1.577022
482,1.612672
483,1.615125
484,1.63565
485,1.634392
486,1.621372
487,1.612281
488,1.636092
489,1.579572
490,1.574691
491,1.581045
492,1.561364
493,1.550842
494,1.580009
495,1.581943
496,1.601471
497,1.591172
498,1.554542
499,1.558926
500,1.571915
501,1.610516
502,1.608409
